n_index,title,writer,date,look,like
812895,리드앤톡 영어도서관 프로그램으로 2년 4개월~4년6개월 학습한 학생들 사례?사진?[2],리드앤톡영어도서관,2018.05.16.,"1,070",1
829401,리드앤톡 영어도서관 원장님들은 인테리어도 서로 협력?사진?[3],리드앤톡영어도서관,2018.07.09.,761,2
894913,국제회의 통역사이자 통번역 대학원교수님인 이창수 교수님의 주장과 일치하는 리드앤톡 영어도서관의 영어학습관?사진?[5],리드앤톡영어도서관,2019.02.11.,751,1
881036,리드앤톡 영어도서관에서 제공하는 One Stop Service?사진동영상?[4],리드앤톡영어도서관,2018.12.27.,665,1
841725,잘 길러놓은 학생을 큰학원에 자꾸 빼앗기는 것을 막으려면?,리드앤톡영어도서관,2018.08.27.,601,1
879647,원어민 수업의 실패가 시사하는 것?[4],리드앤톡영어도서관,2018.12.21.,600,4
806811,프랜차이즈냐? 개인브랜드냐? 정답은 리드앤톡영어도서관?사진?[2],리드앤톡영어도서관,2018.04.26.,591,2
831172,심각한 불황을 이겨내기 위한 방법은??[2],리드앤톡영어도서관,2018.07.12.,587,0
944842,"""400 정도면 만족합니다.."" 학원 하려는 이유가..?",리딩mentor,2019.07.04.,586,4
1040250,영어학원을 왜 찾아오셨을까??동영상링크,리드앤톡영어도서관m,2020.04.14.,585,3
811764,사용자들이 직접 들려주는 리드앤톡 영어도서관의 학습효과?사진?[1],리드앤톡영어도서관,2018.05.12.,565,3
817042,영어학원에 널리 퍼진 잘못된 고정관념들?사진?[4],리드앤톡영어도서관,2018.05.29.,559,4
799923,"리드앤톡 영어도서관 소개 (프로그램, 워크북, 수업장면)?동영상?[4]",리드앤톡영어도서관,2018.04.07.,551,2
916707,[리드앤톡] 보습학원 -> 어학원 확장이전?사진,리딩mentor,2019.04.12.,516,1
805154,"공부방, 교습소, 보습학원을 100명 규모의 전문영어도서관학원으로 키우고 싶으신 원장님들을 찾습니다.?사진?[15]",리드앤톡영어도서관,2018.04.21.,502,3
